arg_id,prev_arg_id,Argument,Concern1,Concern2,Concern3,Concern4,Concern5
Depth5_1,Depth4_1,universities may become redundant if job that require a degree need to be reimbursed buy the employer but equally they should have some incentives to get people into the jobs without the risk of debt,job,debt,,,
Depth5_2,Depth4_1,"the repayment of the loan would not necessarily be easier as this is dependent on personal circumstances , if it's a mature student they may have got into increased debt putting themselves through the training and still having to pay a mortgage and support a family",family,loan,debt,,
Depth5_4,Depth4_1,a degree will give you lots of knowledge you can bring to the job experience can be gained,job,,,,
Depth5_6,Depth4_15,the government could give out grants to specific companies to pay for people to have the degree and if they say don't pass then they have to repay the grants,government,,,,
Depth5_7,Depth4_15,not everyone that pays taxes uses benefits but this is still provided to people that need it using the tax payers money,tax,,,,
Depth5_10,Depth4_15,"a small increase in taxes would cover the vast majority of university fees . in addition , we could tax corporations or the rich , rather than individuals , to cover the cost .",tax,,,,
Depth5_12,Depth4_27,if you are willing to get into debt to invest in your future you shouldn't be penalised by having to pay interest,interest,debt,,,
Depth5_15,Depth4_27,"the student loan is a burden you have to carry throughout a lot of your professional and working life , which hinders your ability to live comfortably and puts pressure on individuals to find a good paying job",loan,job,,,
Depth5_17,Depth4_40,the option to develop skills and better yourself should be easily accessible to everyone and not just people who think it will be easy to pay debt back,debt,,,,
Depth5_22,Depth4_57,the government should be investing in the people instead of paying the politicians ridiculous salaries,government,,,,
Depth5_25,Depth4_57,"by putting money into education and supporting students who wish to gain a better education , we will have a more educated society who are less likely to be a government burden in the future ( i.e . there should be less unemployed and healthier people )",society,government,,,
Depth5_30,Depth4_66,"having a creative and diverse society is essential to our economy that relies on numerous industries and skills . making education free , regardless of the subject , allows us to produce people who are leaders in all fields , which helps our economy to flourish .",society,free,,,
Depth5_31,Depth4_3,the amount of money you have to make in a job to pay back tuition fees is too high for the average person .,job,,,,
Depth5_39,Depth4_16,"that is a valid point . however , abolishing university fees does not have to mean higher taxes . we need to look for ways that universities can source money from other means rather than putting students into crippling debt .",debt,tax,,,
Depth5_42,Depth4_29,the interest rate does not matter considering only the higher salaries repay anyway . it is just another tax .,interest,tax,,,
Depth5_43,Depth4_29,i do n't think a 0 % interest rate would be beneficial to the uk 's economy but by lowering the interest rates i reckon it might help to boost the uk economy .,interest,,,,
Depth5_44,Depth4_29,but is that even possible ? surely abolishing student fees would cut out the middle man and reduce the burden on every body . why reduce the interest when you could just scrap them altogether ?,interest,,,,
Depth5_51,Depth4_61,the fees are so high only doctors and solicitors can afford to pay fees back,afford,,,,
Depth5_53,Depth4_61,"without student loans , many students would not be able to attend university and therefore would not have the opportunity to work hard to get their degree . maybe we should have a more diverse stream of funding available to students .",loan,,,,
Depth5_57,Depth4_77,it's not just the loan amount in particular it's the underlying anxiety of having debt hanging over them .,loan,debt,,,
Depth5_58,Depth4_77,why is it unlikely ? it is not guaranteed that everyone who has a degree will achieve a decent paid job .,job,,,,
Depth5_60,Depth4_77,"many students do not get a big enough loan to live off and have to borrow more money from other sources , this will make them financially unstable in the future",loan,,,,
Depth5_62,Depth4_7,"the government should fund university to allow that person to attend for free . education is what improves the economic output of a country , especially one like the uk which has a service based economy .",free,government,,,
Depth5_63,Depth4_7,scholarships are few and far between and only a very lucky few will be able to access this .,access,scholarship,,,
Depth5_64,Depth4_7,personnel can all afford to get a degree the school may be dependant if fees are abolished . if fees are abolished it allows all backgrounds to gain the same qualifications to the same standard just at different geographical locations .,afford,background,,,
Depth5_67,Depth4_19,"true , but having a degree increases the education level of the population . some will miss out if they have to afford to pay fees and we may be missing placing talented individuals into roles that they should be performing as they do n't have the requisite level of qualification .",afford,,,,
Depth5_72,Depth4_32,"being saddled with debt when you have just left uni is not a great start to your working career . abolishing fees means that education is open to all , not just those who can afford it .",afford,career,debt,,
Depth5_74,Depth4_32,the loans interest should only be due to inflation and loss to a bank or loan provider .,interest,loan,,,
Depth5_77,Depth4_52,"studying at uni equips people with higher level skills and thought processes . this should be made freely available to those who want it , rather than forcing debt onto students .",debt,,,,
Depth5_81,Depth4_62,the government should have a substantial amount set aside to invest in university fees as its investing in the future of the country !,government,,,,
Depth5_87,Depth4_78,taking a loan is encouraging people to continue this behaviour during their working life . it 's just continuing to make bankers wealthier at the expense of others . fees should be abolished to open education up to all .,loan,,,,
Depth5_88,Depth4_78,they 're not that many job opportunities that pay a good wage that you do n't have to go to university to get . a degree is what employers are looking for to even get an interview .,job,,,,
Depth5_89,Depth4_78,all individuals should be entitled to further education and the opportunity needs to be available for all no matter what their monetary background .,background,,,,
Depth5_91,Depth4_92,it is not good setting someone up with a life long debt before they even embark on a career .,career,debt,,,
Depth5_93,Depth4_92,"i think fee 's should be abolished , we should not have to pay to have access to higher education",access,,,,
Depth5_95,Depth4_92,"students are in debt after graduating , including students who were in accommodation and international students as the total money they have to pay back ( student loan ) is very high . they have to pay off the loan when their salary reaches a certain amount",loan,debt,,,
Depth5_98,Depth4_102,it should be a right to free higher education so that we can learn and grow as individuals and better our communities and lives .,free,,,,
Depth5_99,Depth4_102,"it 's clear that the system of grants and scholarships worked in the past , and it 's only short-sighted politics that have led to the current situation . it worked once ; it can work again .",scholarship,,,,
Depth5_102,Depth4_109,"often loans are not enough to live off nowadays , it also reduces the quality of life once they gave a job .",loan,job,,,
Depth5_105,Depth4_109,"a poor person will still have to pay interest on top of the student loan and the starting salary for a medic is similar to many other jobs , so they will not be better off than a person who has a higher household salary",interest,loan,job,,
Depth5_110,Depth4_120,"due to the low starting salaries of jobs and the high interest on the student loans , even students with good salary jobs will take time to pay off the student loans , therefore they will have lost several years of their salary in the process",interest,loan,job,,
Depth5_111,Depth4_132,the fees should be stopped altogether as putting people in large amounts of debt based on career choice is not good financial stability,career,debt,,,
Depth5_113,Depth4_132,"its bad for the economy and it makes sense to offer free education if the provided the government can do so , which i think they can",free,government,,,
Depth5_114,Depth4_132,"there 's little evidence to show that such a measure would achieve anything , nor indeed be fairly distributed . a non-egalitarian policy would be fairer and ultimately better for society .",society,,,,
Depth5_118,Depth4_139,but with free higher education no one is limited and they can pursue any career they want with the help of free university . there are no limits .,free,career,,,
Depth5_119,Depth4_139,"i think i made this argument earlier , but in the context of urging pure scholars towards a career-based path . education should be open to all , and the benefit to society as a result is the payment .",society,,,,
Depth5_120,Depth4_139,"prices for essential products around the world are increasing , the population is increasing and therefore if an individual has better job , they are more likely to be successful in the real world as they are more prepared , where there is increased rate of debt",job,debt,,,
Depth5_122,Depth4_95,it would benefit the government far more by more people completing university and the them getting higher jobs therefore helping unemployment rates and contribution back to the country .,government,job,,,
