temp_id,id,id_prev_arg,Argument
1,CA4A1,A44CA4,"This entirely depends on the industry and type of job. For a job that requires a degree, work ethics and experience will not be enough."
2,CA4A2,A44CA4,A degree is necessary to use as a tool to differentiate between candidates
3,CA4A3,A44CA4,Not everyone has the money to do further education therefore the fees should be abolished
4,CA4A4,A44CA4,A degree is important not only only for the better job perspectives but also for self confidence. The employer would hire someone with the High job ethics and experience AND the academic knowledge will  
5,CA4A5,A44CA4,A degree is important as it demonstrates self discipline and a desire to self improve. 
6,CA4A6,A44CA4,"Nowadays many companies complain about lack of talents; they become less competitive and their performance is not so good as they expect. All because they lack talented employees. At the same time, many talented young people can not develop their skills and gain knowledge, because they are too poor to pay for the education. Wouldn't that be beneficial for companies and future young specialists, if the fees decrease?"
7,CA4A7,A44CA4,"University studies do not just provide a degree, people get trained to critically think. "
8,CA4A8,A44CA4,Work experience can also be gained by studying at university as there are courses which involve a year in industry. Work ethics are also acquired by taking part in group projects at university. 
9,CA4A9,A44CA4,With a degree you are able to expand on this work experience and if you have the opportunity to study for a degree and further your education you will stand a better chance when competing for jobs
10,CA4A10,A44CA4,Taking your point that degrees may not be necessary there are still other costs to prevent people taking their course too lightly. A financial deterrence shouldn't be one of them.
11,CA2A1,A60CA2,In other countries (like Germany) universities are free but the taxes are not necessarily much higher.
12,CA2A2,A60CA2,More likely to get jobs that earn decent wages and start contributing via Tax and NI
13,CA2A3,A60CA2,The government spends money on other things like weapons and wars  but they should think of the people in UK 
14,CA2A4,A60CA2,By offering more diverse opportunities the Government will gain more highly qualified workers
15,CA2A5,A60CA2,"In Scotland, tertiary education is free, and nobody complains about how it is funded. "
16,CA2A6,A60CA2,"Well, our economy will benefit from getting more young talents involved, so the level of UK citizens' life will grow"
17,CA2A7,A60CA2,we pay enough taxes  but not all pay what they should. Make the tax dodgers to pay what they should.
18,CA2A8,A60CA2,"It is better for taxes to go towards important causes such as higher education, than it is for them to go to people falsely claiming benefits"
19,CA2A9,A60CA2,Other things could be implented into the university to raise money for the university therefore limiting the effect on taxes
20,CA2A10,A60CA2,"Not necessarily if universities are encouraged to become more self funding, i.e through renting out facilities/accomadation when not in use or use the minds of student to solve commercial problems. Like a human equivalent of renting super computer time."
21,CA4bA1,A18CA4,The student loan interest rates are quite high and students end up repaying much more than they initially borrowed. 
22,CA4bA2,A18CA4,Financial education is lacking to assume that uni age students can deal with the debt efficiently 
23,CA4bA3,A18CA4,Not many students are able to pay back the loan 
24,CA4bA4,A18CA4,"The banks are earning money on providing loans to students and they will not work without gaining profit from the loans. Students still need to repay a massive amount of money, when they could actually step on the property ladder earlier"
25,CA4bA5,A18CA4,"It's ridiculous to saddle young people with lifelong debt because they want to be educated. Education should not see employment (and the ability to repay a loan) as the end goal, but rather as a human right. "
26,CA4bA6,A18CA4,Student loans and high fees still make education less appealing for the prospective students
27,CA4bA7,A18CA4,With future uncertainty becoming the rule young people from low income families will not want this heavy loan burden. So back to the rich getting educated and the poor ........................
28,CA4bA8,A18CA4,"Loans still have to be paid back. As soon as the graduate starts earning enough, the banks take a huge proportion of their salary"
29,CA4bA9,A18CA4,Students who come from less wealthy backgrounds will feel at a disadvantage and may be less likely to attend uni because of the fees. All inidividuals should be able to attend university regardless of their parents financial situation
30,CA4bA10,A18CA4,"Even with this, students can be naive and misspend the maintenance loans given to them. Wasting government resources that could be spent elsewhere, where it would be more efficiently spent."
31,CA1A1,A11CA1,But what if someone really wants to be an engineer? Then this person should be able to go to university
32,CA1A2,A11CA1,easier to get education now rather than later in life
33,CA1A3,A11CA1,Everyone should have the right to an education bcoz so many don't have the money to pay fees so they loose out and they have the potential to study and become something 
34,CA1A4,A11CA1,"University do not only provide doctors and engineers degrees, there are plenty of other possibilities and fields to grow. Each area need their own highly knowledgeable and qualified staff. The degree should be a choice which do not depend on the finances."
35,CA1A5,A11CA1,"Education is about far more than being an engineer: it's about lifeliong learning, confidence, self worth... "
36,CA1A6,A11CA1,It's talent and ability to work hard what makes a person a good doctor or engineer. Money only can not make you a nice specialist
37,CA1A7,A11CA1,"Every job is becoming more and more specialized, further education does not produce only doctors and engineers, it also trains minds"
38,CA1A8,A11CA1,But why should somebodyâ€™s background stop them from pursuing any career. A poor person can be just as good a medic as a rich person. 
39,CA1A9,A11CA1,There are however you are essentially saying that not everyone can be a doctor or engineer only people from a wealthy background can have these careers. Whereas a student from a less wealthy background may be fantastic and be able to creat a cure for cancer but because their parents arent wealthy they never recieve the training
40,CA1A10,A11CA1,"The decision for what career path a young person can take should not be inhibited by whether it can be afforded or not. The government should help enable anyone to thrive in whatever educational path they choose, else this country could be denied great talent put off by the high cost of entry to university."
41,CA6A1,A53CA6,NAN
42,CA6A2,A53CA6,Value for money from the courses available can be questionable if all university's  charge the same amount 
43,CA6A3,A53CA6,9k is very hard to get and also to pay student loan back can be difficult if they don't a good pay job 
44,CA6A4,A53CA6,"Of course Universities need financial support too, it is a Government affair and support. When individuals decide to go to University, they hope to get high paid jobs,"
45,CA6A5,A53CA6,The prospect of having to pay back a loan once a certain level of income is reached may put young people off applying for jobs which will lead to a well paid career. 
46,CA6A6,A53CA6,Many talented young people still won't be able to afford it
47,CA6A7,A53CA6,"Your argument is rubish. The high loan burden affects people in many other ways, i.e mortgages, start business loans, etc."
48,CA6A8,A53CA6,"Those with a masters will be at the level of repayment very quickly, and will then be worse off because theyâ€™ve continued their education "
49,CA6A9,A53CA6,Are the fees ever actually paid back. You have students who dont care about further education still going. 
50,CA6A10,A53CA6,"Given that many graduates don't get close to paying off their loans before the write off date, leaves the burden of funding universities to those who end up in careers that happen to pay well. This is too asymmetric a system that disadvantages and puts off some from pursuing high income careers."
51,,A44CA18,Taking out a loan is not something that students should have to do to go to university as there is no guarantee they will be able to pay it off afterwards.
52,,A44CA18,"Many people struggle to finance their lives as it is. Being poor should not be a barrier to education. For many folk, an extra loan is just not possible."
53,,A44CA18,Many potential university students would still find it affordable and therefore would not take a loan.
