arg_id,prev_arg_id,arg,error
Depth5_1,Depth4_1,Universities may become redundant if job that require a degree need to be reimbursed buy the employer but equally they should have some incentives to get people into the jobs without the risk of debt ,
Depth5_2,Depth4_1,"The repayment of the loan would not necessarily be easier as this is dependent on personal
Circumstances, if it’s a mature student they may have got into increased debt putting themselves through the training and still having to pay a mortgage and support a family",
Depth5_3,Depth4_1,"Arguing that jobs requiring degrees pay more fails to understand that it takes a long time to earn the top salaries. Loans may cover the cost of education, but the cost of living during and after education need to be factored in, and with the cost of rent mortgages etc it not just a case of a loan, its working night and day to become qualified, experienced and to feed and house yourself and dependents. It discriminates against people with no savings or other financial support networks.",
Depth5_4,Depth4_1,A degree will give you lots of knowledge you can bring to the job experience can be gained ,
Depth5_5,Depth4_1,If the country wants a skilled workforce that can effectively fill roles in various industries they should be willing to invest in young people - many people are capable of doing well in many industries but simply cannot invest in themselves,
Depth5_6,Depth4_15,The government could give out grants to specific companies to pay for people to have the degree and if they say don’t pass then they have to repay the grants ,
Depth5_7,Depth4_15,Not everyone that pays taxes uses benefits but this is still provided to people that need it using the tax payers money ,
Depth5_8,Depth4_15,"Allowing people of all social and economic access to reasonable education is fundammental to a society focused on development, change and equality. Its a ridiculous comment to make, that some people pay taxes and dont go to university. Some people don't have children but taxes pay for schools, never get sick but taxes go to the NHS. The list goes on. ",y
Depth5_9,Depth4_15,Everyone should be given the chance of further education for free ,
Depth5_10,Depth4_15,"A small increase in taxes would cover the vast majority of university fees. In addition, we could tax corporations or the rich, rather than individuals, to cover the cost.",
Depth5_11,Depth4_27,Education should be free for all and should be an extension on yo school ,
Depth5_12,Depth4_27,If you are willing to get into debt to invest in your future you shouldn’t be penalised by having to pay interest ,
Depth5_13,Depth4_27,"If people of restricted financial resources are forced into a loan to fund their education, they should not have an unreasonably high interest rate thrust upon them. If there is only one provider of student loans (and i'm assuming there is) then the choices people have are take on a loan and repay an unfair amount back, or dont get an education. Its exploitative.",
Depth5_14,Depth4_27,But it should be if it will improve the level of workers for your country ,
Depth5_15,Depth4_27,"The student loan is a burden you have to carry throughout a lot of your professional and working life, which hinders your ability to live comfortably and puts pressure on individuals to find a good paying job",
Depth5_16,Depth4_40,Not everyone has the funds but everyone has the capability ,
Depth5_17,Depth4_40,The option to develop skills and better yourself should be easily accessible to everyone and not just people who think it will be easy to pay debt back ,
Depth5_18,Depth4_40,"University is a great place to learn, explore and discuss new ideas. Further education is good for society as a whole, not just in the job market. Learning to test and challenge things is imperative in.all areas of life and a is great skill. Its not just an individual investing in themselves for a return in high wages, its society investing in itself to become more progressive, equal and more understanding.",
Depth5_19,Depth4_40,Exactly therefore these higher risk jobs etc need expert training ,
Depth5_20,Depth4_40,"The UK is competing against highly trained and skilled individuals from across the world, so further education helps us compete and be at the forefront of industry advancement",
Depth5_21,Depth4_57,Not all parents can be relief funds ,
Depth5_22,Depth4_57,The government should be investing in the people instead of paying the politicians ridiculous salaries ,
Depth5_23,Depth4_57,"Everyone knows public services, including education, are stretched. But I think its fair to say quite a lot of money is also wasted ( brexit, mps expenses etc) It isnt a good arguement to try and prioritise the importance of services, they are all important. ",y
Depth5_24,Depth4_57,You could still have richer people make voluntary donations ,
Depth5_25,Depth4_57,"By putting money into education and supporting students who wish to gain a better education, we will have a more educated society who are less likely to be a government burden in the future (i.e. there should be less unemployed and healthier people)",
Depth5_26,Depth4_66,Everyone should be given a salary sacrifice after university to repay thr debts ,y
Depth5_27,Depth4_66,If people didn’t study these non vocational degrees then eventually there would be a shortage in skilled individuals that need these type of degrees to progress into other studies ,
Depth5_28,Depth4_66,"Jobs are not guarenteed, and its a little nieive to say that people who go to university will get a job in that area. There are not enough jobs, and with people having to work longer it makes getting a job really difficult. ",y
Depth5_29,Depth4_66,But education for our children should be top priority ,
Depth5_30,Depth4_66,"Having a creative and diverse society is essential to our economy that relies on numerous industries and skills. Making education free, regardless of the subject, allows us to produce people who are leaders in all fields, which helps our economy to flourish.",
Depth5_31,Depth4_3,The amount of money you have to make in a job to pay back tuition fees is too high for the average person. ,
Depth5_32,Depth4_3,University doesn’t not just provide academic knowledge it also teaches important life skills.,
Depth5_33,Depth4_3,"The UK is already investing money into new schemes that allow young people to develop technical and specific industry knowledge, for example through apprenticeships and the new T-Levels. These routes of education give young people an option to develop their knowledge without having to go to university and get a degree. ",
Depth5_34,Depth4_3,"That is an idea, but university courses also provide people with practical skills and so why not make these courses more accessible to everyone? ",
Depth5_35,Depth4_3,University degrees also allow people to gain practical experience and often have a year in industry which allows people to work as part of their degree ,
Depth5_36,Depth4_16,You also don't have to pay in Scotland. ,
Depth5_37,Depth4_16,NAN,
Depth5_38,Depth4_16,"Even with the increased cost to the individual, having free education provides individuals with an opportunity to attend university despite their socio-economic background. Therefore, social mobility continues to have momentum, unlike in the UK.",
Depth5_39,Depth4_16,"That is a valid point. However, abolishing university fees does not have to mean higher taxes. We need to look for ways that universities can source money from other means rather than putting students into crippling debt.",
Depth5_40,Depth4_16,This cost does not counteract the tuition fee cost of over £9000 per student per year though ,
Depth5_41,Depth4_29,It doesn't matter how low the interest is because most students won't pay back the amount owed. ,
Depth5_42,Depth4_29,The interest rate does not matter considering only the higher salaries repay anyway. It is just another tax.,
Depth5_43,Depth4_29,I don't think a 0% interest rate would be beneficial to the UK's economy but by lowering the interest rates I reckon it might help to boost the UK economy. ,
Depth5_44,Depth4_29,But is that even possible? Surely abolishing student fees would cut out the middle man and reduce the burden on every body. Why reduce the interest when you could just scrap them altogether?,
Depth5_45,Depth4_29,"But this still means that many students are in debt of nearly £30,000 just from their tuition fees alone ",
Depth5_46,Depth4_44,University at the very lest gives an excellent foundation into your particular field. ,
Depth5_47,Depth4_44,University also teaches important life skills.,
Depth5_48,Depth4_44,I don't believe university is just about getting a better job or a promotion. ,
Depth5_49,Depth4_44,"But we shouldn't be denying a university education to those who want it off the basis of financial needs. This creates amplifies so many problems with the economy in this country. If someone wants to go to university, they shouldn't have to worry about money!",
Depth5_50,Depth4_44,University allows people to explore a subject in a high level of depth and the independent study at university gives students depth and independence. Self motivation is developed,
Depth5_51,Depth4_61,The fees are so high only doctors and solicitors can afford to pay fees back ,
Depth5_52,Depth4_61,Some will abuse the support and use university as a way of delaying entering the working world.,
Depth5_53,Depth4_61,"Without student loans, many students would not be able to attend university and therefore would not have the opportunity to work hard to get their degree. Maybe we should have a more diverse stream of funding available to students.",
Depth5_54,Depth4_61,You can be determined to work hard and be dedicated yet not be in the position to cope with so much debt? Why are we putting a price on hard work?,
Depth5_55,Depth4_61,But is the student loan system fair? How does it affect people who have more than one sibling at university? How will people cope paying back their student loan in the future?,
Depth5_56,Depth4_77,It's still a monthly reduction on your wage for 30 years. You'll have student debt in your 50s. ,
Depth5_57,Depth4_77,It’s not just the loan amount in particular it’s the underlying anxiety of having debt hanging over them.,
Depth5_58,Depth4_77,Why is it unlikely? It is not guaranteed that everyone who has a degree will achieve a decent paid job. ,
Depth5_59,Depth4_77,But then what does that mean in the long run for the economy? Surely it would just make more sense to abolish the loan system altogether.,
Depth5_60,Depth4_77,"Many students do not get a big enough loan to live off and have to borrow more money from other sources, this will make them financially unstable in the future ",
Depth5_61,Depth4_7,Scholarships aren't readily available and why should someone have to apply for a scholarship instead of having the same qualifying opportunity as another student?,
Depth5_62,Depth4_7,"The government should fund university to allow that person to attend for free. Education is what improves the economic output of a country, especially one like the UK which has a service based economy.",
Depth5_63,Depth4_7,Scholarships are few and far between and only a very lucky few will be able to access this.,
Depth5_64,Depth4_7,Personnel can all afford to get a degree the school may be dependant if fees are abolished. If fees are abolished it allows all backgrounds to gain the same qualifications to the same standard just at different geographical locations.,
Depth5_65,Depth4_7,"Whilst that might be possible, that person is therefore not fully in control of their own destiny. Education should be available for people from all backgrounds and Scholarships will generally be limited in availability.",
Depth5_66,Depth4_19,NAN,
Depth5_67,Depth4_19,"True, but having a degree increases the education level of the population. Some will miss out if they have to afford to pay fees and we may be missing placing talented individuals into roles that they should be performing as they don't have the requisite level of qualification.",
Depth5_68,Depth4_19,It limits people in their choices and what they have to offer. Some really great minds maybe looked over due to not having the funds or the economic status .,
Depth5_69,Depth4_19,"That’s is leaning heavily dependant on an industrial economy growth. It will leave a poorer industry, who require qualified candidates wanting and restrictions on economical growth.",
Depth5_70,Depth4_19,I'm not entirely sure that's accurate. Quite the opposite. Scotland is a good comparative example back home. Higher education funding is made available for all students who earn under £25000.,
Depth5_71,Depth4_32,"So another student who's not as financially privileged but may commit to working just as hard if not harder towards their degree, cannot have access to the same opportunity without having an application for scholarship or fee waiver, what if both those applications are rejected?",
Depth5_72,Depth4_32,"Being saddled with debt when you have just left uni is not a great start to your working career. Abolishing fees means that education is open to all, not just those who can afford it.",
Depth5_73,Depth4_32,"The loan puts more pressure on the individual when they start their career. They should be concentrating on the new job, not on the repayments.",
Depth5_74,Depth4_32,The loans interest should only be due to inflation and loss to a bank or loan provider.,
Depth5_75,Depth4_32,I fail to understand your argument as to why specifically the brightest are afforded a fee waiver. No university should operate from the premise that the students with the best academic track record should have the easiest financial experience. That would only serve to widen the disparity.,
Depth5_76,Depth4_52,The degree provides an element of work experience in that field which can then be reflected upon during interview once the degree has been obtained!,
Depth5_77,Depth4_52,"Studying at uni equips people with higher level skills and thought processes. This should be made freely available to those who want it, rather than forcing debt onto students.",
Depth5_78,Depth4_52,You need to have some sort of qualification so people can be put in the right place/job. If there wasn't a degree then how would they prove they are capable to do the job.,
Depth5_79,Depth4_52,But all employment has it technological advancements and on hands work is not acceptable for the safety of workers. Like Doctors and Engineers this is safety and preservation of life by safety cautions and correctly trained individuals.,
Depth5_80,Depth4_52,"Work experience is vital and invaluable in many trades. Apprenticeships are a perfect example of how you learn by doing. However, many other career paths require that new staff firstly arm themselves with a strong academic awareness of the subject. Whilst you may learn to be a Carpenter by practice, you certainly couldn't apply the same approach to being a Surgeon.",
Depth5_81,Depth4_62,The government should have a substantial amount set aside to invest in University fees as its investing in the future of the country!,
Depth5_82,Depth4_62,Some people are entirley put off by the idea that you end up in debt at the end of a degree. This stops talented people from attending and adds to a general brain drain in the UK.,y
Depth5_83,Depth4_62,The loan needs to be paid back regardless and not all graduates can get a high paying job. They are only so many jobs out there. Some graduates end up struggling to pay the loan and live too.,
Depth5_84,Depth4_62,"Not all employments will pay highly, but need educated personnel to fulfil the roles such as public sector employment. ",y
Depth5_85,Depth4_62,"Universities do not gain funding directly from student loan fees. Rather, they are afforded funding levels from the Government bodies based on a secured number of student placements each term. The investment aspect runs deeper, in so much as the Government is investing with the University to produce a higher calibre of educated workforce. It is not an individual investment.",
Depth5_86,Depth4_78,"University should be accessible to all, not just he silver spoon students!",
Depth5_87,Depth4_78,Taking a loan is encouraging people to continue this behaviour during their working life. It's just continuing to make bankers wealthier at the expense of others. Fees should be abolished to open education up to all.,
Depth5_88,Depth4_78,They're not that many job opportunities that pay a good wage that you don't have to go to university to get. A degree is what employers are looking for to even get an interview. ,
Depth5_89,Depth4_78,All individuals should be entitled to further education and the opportunity needs to be available for all no matter what their monetary background. ,
Depth5_90,Depth4_78,"The cost of putting a student through University need not be met by the student. The devolved Goverments within the UK have direct budgetary control over various aspects of their respective countries and can pool finances from other areas to fund education. They are seeing the larger picture that by removing the financial barriers to higher education provides the scope for citizens to improve themselves and become more productive members of society. Whilst University may not be a right as such, there should be no political barriers to prevent entry.",y
Depth5_91,Depth4_92,It is not good setting someone up with a life long debt before they even embark on a career. ,
Depth5_92,Depth4_92,Many young people have been brought up to feel that university is necessary . There are also very few alternatives.,
Depth5_93,Depth4_92,"I think fee's should be abolished, we should not have to pay to have access to higher education",
Depth5_94,Depth4_92,"Although education as a step to future employment is important, aspiring to education as an end of its own is also a valid reason. In such a case the achievements, discoveries and overall well-being to society gained from having an educated populace must not be underestimated.",
Depth5_95,Depth4_92,"Students are in debt after graduating, including students who were in accommodation and international students as the total money they have to pay back (student loan) is very high. They have to pay off the loan when their salary reaches a certain amount",
Depth5_96,Depth4_102,The fees payable should be abolished and students advised to pay they same sum into a savings account for a property that they could own. ,
Depth5_97,Depth4_102,Scholarships are not available to all and are not sustainable for all.,
Depth5_98,Depth4_102,It should be a right to free higher education so that we can learn and grow as individuals and better our communities and lives.,
Depth5_99,Depth4_102,"It's clear that the system of grants and scholarships worked in the past, and it's only short-sighted politics that have led to the current situation. It worked once; it can work again.",
Depth5_100,Depth4_102,"Not everyone can get scholarships offered by the government as they do not meet the requirements, such as individuals that are not as intelligent and so do not perform well enough to get high achievement scholarships or individuals that are from households with average income so are not eligible for bursaries",
Depth5_101,Depth4_109,Why should a poor person have to do that? Everyone should have equal rights and it should be fair ,
Depth5_102,Depth4_109,"Often loans are not enough to live off nowadays, it also reduces the quality of life once they gave a job.",
Depth5_103,Depth4_109,"But then that poor person has the burden of paying off a loan in the future, that is something that no one should ever have to worry about. If no one had to pay then we would all be much smarter and be much more able to pursue our career goals.",
Depth5_104,Depth4_109,"This once again presupposes that the function of education is to lead to lucrative employment. Who's to guarantee that great discoveries won't be made by an educated but relatively low-paid individual. We risk urging people towards a career-driven path, thus avoiding the possibilities of pure research.",
Depth5_105,Depth4_109,"A poor person will still have to pay interest on top of the student loan and the starting salary for a medic is similar to many other jobs, so they will not be better off than a person who has a higher household salary",
Depth5_106,Depth4_120,Yes they would. Before they even start in their chosen career they are in debt. ,
Depth5_107,Depth4_120,"No, although they will take home less than rheir well off counterparts when they do get a high paying job.",y
Depth5_108,Depth4_120,Yes they would B1. The financial burden takes its toll on people and it isnt easy having a looming debt which you know you will have to pay off eventually and sacrifice for.,
Depth5_109,Depth4_120,I don't think you can comment on what 'young people' would or would not do. Just because you wouldn't hold back from this means nothing.,
Depth5_110,Depth4_120,"Due to the low starting salaries of jobs and the high interest on the student loans, even students with good salary jobs will take time to pay off the student loans, therefore they will have lost several years of their salary in the process",
Depth5_111,Depth4_132,The fees should be stopped altogether as putting people in large amounts of debt based on career choice is not good financial stability ,
Depth5_112,Depth4_132,"Only the brightest and the best get scholarships, they should not be the only people who can get one.",
Depth5_113,Depth4_132,"Its bad for the economy and it makes sense to offer free education if the provided the government can do so, which i think they can",
Depth5_114,Depth4_132,"There's little evidence to show that such a measure would achieve anything, nor indeed be fairly distributed. A non-egalitarian policy would be fairer and ultimately better for society.",
Depth5_115,Depth4_132,"Not everyone is eligible for scholarships, therefore instead the university fees should be scrapped or money off schemes should be started so that students from poorer families can go to university",
Depth5_116,Depth4_139,Everyone should have an opportunity to gain a degree ,
Depth5_117,Depth4_139,"There are many jobs that you can only get with a degree, most professional high paying jobs require a degree. ",
Depth5_118,Depth4_139,But with free higher education no one is limited and they can pursue any career they want with the help of free university. There are no limits.,
Depth5_119,Depth4_139,"I think I made this argument earlier, but in the context of urging pure scholars towards a career-based path. Education should be open to all, and the benefit to society as a result is the payment.",
